filename,extracted_fields
Template5_Instance102.jpg,"Invoice No: 1Y3M5d-291, Date: 25-Jul-17, Total Amount: 1183.48, Vendor: Bailey Group"
Template5_Instance10.jpg,"Invoice No: 6Y5M64-746, Date: 04-Aug-20, Total Amount: 564.97, Vendor: Bailey Group"
Template5_Instance100.jpg,"Invoice No: INV94037759, Date: 04-Oct-22, Total Amount: 56.86, Vendor: Bailey Group"
Template5_Instance1.jpg,"Invoice No: 6553-163, Date: 13-Apr-08, Total Amount: 630.17, Vendor: Bailey Group"
Template5_Instance103.jpg,"Invoice No: INV/80-18/089, Date: 09-Sep-03, Total Amount: 248.05, Vendor: Bailey Group"
Template5_Instance0.jpg,"Invoice No: 5Y3M7d-590, Date: 18-Jan-1999, Total Amount: 677.33, Vendor: Bailey Group"
Template5_Instance101.jpg,"Invoice No: SY2M74-545, Date: 27-Jan-09, Total Amount: 151.09, Vendor: Bailey Group"
Template5_Instance114.jpg,"Invoice No: INV/88-12/170, Date: 09-Mar-20, Total Amount: 1076.77, Vendor: Bailey Group"
Template5_Instance106.jpg,"Invoice No: 3823-367, Date: 25-Dec-97, Total Amount: 1042.62, Vendor: Bailey Group"
Template5_Instance116.jpg,"Invoice No: 5Y8M5d-143, Date: 23-Oct-97, Total Amount: 159.01, Vendor: Bailey Group"
Template5_Instance115.jpg,"Invoice No: INV41733760, Date: 16-Jul-17, Total Amount: 752.03, Vendor: Bailey Group"
Template5_Instance112.jpg,"Invoice No: INV37855279, Date: 25-Jun-13, Total Amount: 701.87, Vendor: Bailey Group"
Template5_Instance105.jpg,"Invoice No: INV/83-99/129, Date: 30-Jul-2016, Total Amount: 905.33, Vendor: Bailey Group"
Template5_Instance119.jpg,"Invoice No: INV/07-56/604, Date: 05-Feb-94, Total Amount: 437.39, Vendor: Bailey Group"
Template5_Instance12.jpg,"Invoice No: 8Y2M84-379, Date: 15-May-04, Total Amount: 448.59, Vendor: Bailey Group"
Template5_Instance120.jpg,"Invoice No: 3Y3M3d-205, Date: 22-Oct-98, Total Amount: 698.01, Vendor: Bailey Group"
Template5_Instance110.jpg,"Invoice No: INV/67-71/814, Date: 20-Jan-17, Total Amount: 241.82, Vendor: Bailey Group"
Template5_Instance109.jpg,"Invoice No: 8Y9M2d-586, Date: 08-Nov-08, Total Amount: 243.73, Vendor: Bailey Group"
Template5_Instance108.jpg,"Invoice No: INV/55-79/951, Date: 19-Apr-20, Total Amount: 762.86, Vendor: Bailey Group"
Template5_Instance104.jpg,"Invoice No: 96M4d-601, Date: 24-Jul-95, Total Amount: 818.98, Vendor: Bailey Group"
Template5_Instance113.jpg,"Invoice No: INVI96-86/692, Date: 07-Mar-08, Total Amount: 816.02, Vendor: Bailey Group"
Template5_Instance111.jpg,"Invoice No: INV/31-33/016, Date: 27-Dec-2019, Total Amount: 421.21, Vendor: Bailey Group"
Template5_Instance11.jpg,"Invoice No: 9Y8M6d-036, Date: 26-Apr-05, Total Amount: 318.40, Vendor: Bailey Group"
Template5_Instance118.jpg,"Invoice No: 2079-868, Date: 07-Nov-97, Total Amount: 1112.39, Vendor: Bailey Group"
Template5_Instance117.jpg,"Invoice No: 6598-797, Date: 15-Nov-13, Total Amount: 796.32, Vendor: Bailey Group"
